time_range,rank,artist_name,spotify_id,spotify_uri,spotify_url
medium_term,22,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ
medium_term,23,Garbage,6S0GHTqz5sxK5f9HtLXn9q,spotify:artist:6S0GHTqz5sxK5f9HtLXn9q,https://open.spotify.com/artist/6S0GHTqz5sxK5f9HtLXn9q
medium_term,24,Cute Is What We Aim For,7AsPubxWM5tfW4hTZEL3aP,spotify:artist:7AsPubxWM5tfW4hTZEL3aP,https://open.spotify.com/artist/7AsPubxWM5tfW4hTZEL3aP
medium_term,25,The Killers,0C0XlULifJtAgn6ZNCW2eu,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,https://open.spotify.com/artist/0C0XlULifJtAgn6ZNCW2eu
medium_term,26,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,spotify:artist:6ogn9necmbUdCppmNnGOdi,https://open.spotify.com/artist/6ogn9necmbUdCppmNnGOdi
medium_term,27,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,spotify:artist:5yV1qdnmxyIYiSFB02wpDj,https://open.spotify.com/artist/5yV1qdnmxyIYiSFB02wpDj
medium_term,28,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb,https://open.spotify.com/artist/7FBcuc1gsnv6Y1nwFtNRCb
medium_term,29,No Doubt,0cQbJU1aAzvbEmTuljWLlF,spotify:artist:0cQbJU1aAzvbEmTuljWLlF,https://open.spotify.com/artist/0cQbJU1aAzvbEmTuljWLlF
medium_term,30,Honey Revenge,1DHMgO3IIYSYPJ6CFyDYnK,spotify:artist:1DHMgO3IIYSYPJ6CFyDYnK,https://open.spotify.com/artist/1DHMgO3IIYSYPJ6CFyDYnK
medium_term,31,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,spotify:artist:1McMsnEElThX1knmY4oliG,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG
medium_term,32,The Veronicas,1dIdBZaaHRW2bDTkHNfWln,spotify:artist:1dIdBZaaHRW2bDTkHNfWln,https://open.spotify.com/artist/1dIdBZaaHRW2bDTkHNfWln
medium_term,33,We The Kings,3ao3jf5d70Tf4fPh2bnXVl,spotify:artist:3ao3jf5d70Tf4fPh2bnXVl,https://open.spotify.com/artist/3ao3jf5d70Tf4fPh2bnXVl
medium_term,34,All Time Low,46gyXjRIvN1NL1eCB8GBxo,spotify:artist:46gyXjRIvN1NL1eCB8GBxo,https://open.spotify.com/artist/46gyXjRIvN1NL1eCB8GBxo
medium_term,35,City Girls,37hAfseJWi0G3Scife12Il,spotify:artist:37hAfseJWi0G3Scife12Il,https://open.spotify.com/artist/37hAfseJWi0G3Scife12Il
medium_term,36,Chase Atlantic,7cYEt1pqMgXJdq00hAwVpT,spotify:artist:7cYEt1pqMgXJdq00hAwVpT,https://open.spotify.com/artist/7cYEt1pqMgXJdq00hAwVpT
long_term,1,Sleep Token,2n2RSaZqBuUUukhbLlpnE6,spotify:artist:2n2RSaZqBuUUukhbLlpnE6,https://open.spotify.com/artist/2n2RSaZqBuUUukhbLlpnE6
long_term,2,Bad Omens,3Ri4H12KFyu98LMjSoij5V,spotify:artist:3Ri4H12KFyu98LMjSoij5V,https://open.spotify.com/artist/3Ri4H12KFyu98LMjSoij5V
long_term,3,Kidz Bop Kids,1Vvvx45Apu6dQqwuZQxtgW,spotify:artist:1Vvvx45Apu6dQqwuZQxtgW,https://open.spotify.com/artist/1Vvvx45Apu6dQqwuZQxtgW
long_term,4,Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,spotify:artist:3PyJHH2wyfQK3WZrk9rpmP,https://open.spotify.com/artist/3PyJHH2wyfQK3WZrk9rpmP
long_term,5,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,spotify:artist:181bsRPaVXVlUKXrxwZfHK,https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK
long_term,6,Loveless,1MP7xlABJ13LtmHfG77SCJ,spotify:artist:1MP7xlABJ13LtmHfG77SCJ,https://open.spotify.com/artist/1MP7xlABJ13LtmHfG77SCJ
long_term,7,Paramore,74XFHRwlV6OrjEM0A2NCMF,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,https://open.spotify.com/artist/74XFHRwlV6OrjEM0A2NCMF
long_term,8,Vitamin String Quartet,6MERXsiRbur2oJZFgYRDKz,spotify:artist:6MERXsiRbur2oJZFgYRDKz,https://open.spotify.com/artist/6MERXsiRbur2oJZFgYRDKz
long_term,9,Hozier,2FXC3k01G6Gw61bmprjgqS,spotify:artist:2FXC3k01G6Gw61bmprjgqS,https://open.spotify.com/artist/2FXC3k01G6Gw61bmprjgqS
long_term,10,ConcernedApe,2PqkSKtPxs112KDZdRXGO2,spotify:artist:2PqkSKtPxs112KDZdRXGO2,https://open.spotify.com/artist/2PqkSKtPxs112KDZdRXGO2
long_term,11,BOYS LIKE GIRLS,0vWCyXMrrvMlCcepuOJaGI,spotify:artist:0vWCyXMrrvMlCcepuOJaGI,https://open.spotify.com/artist/0vWCyXMrrvMlCcepuOJaGI
long_term,12,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,https://open.spotify.com/artist/4UXqAaa6dQYAk18Lv7PEgX
