time_range,rank,track_name,track_id,artist_names,album_name,album_release_date,duration_ms,explicit,isrc,spotify_url,album_image_url
short_term,37,WAP (feat. Megan Thee Stallion),6j23yxl5Sktj2uvf9Yb3gK,"Cardi B, Megan Thee Stallion",AM I THE DRAMA? (Beat Edition),2025-09-18,187546,True,USAT22005111,https://open.spotify.com/track/6j23yxl5Sktj2uvf9Yb3gK,https://i.scdn.co/image/ab67616d0000b273762cb4007f96ee44852f263e
short_term,38,CONCRETE JUNGLE,6ysFjLtyUMPBZpVmewLTP2,Bad Omens,THE DEATH OF PEACE OF MIND,2022-02-25,220495,True,USYFZ2264201,https://open.spotify.com/track/6ysFjLtyUMPBZpVmewLTP2,https://i.scdn.co/image/ab67616d0000b273bafcef0262b82dec233717e2
short_term,39,Deal With It (feat. Kelis),1S85LGnDPKKOkfuFaK6vFu,"Ashnikko, Kelis",DEMIDEVIL,2021-01-15,191149,True,GBAYE2000707,https://open.spotify.com/track/1S85LGnDPKKOkfuFaK6vFu,https://i.scdn.co/image/ab67616d0000b273247c40910d2fe85a1a46b2c6
short_term,40,Dying To Love,1TPdMmb92BoWvDFQlCuVl0,Bad Omens,Dying To Love,2025-10-22,256965,False,USYFZ2564001,https://open.spotify.com/track/1TPdMmb92BoWvDFQlCuVl0,https://i.scdn.co/image/ab67616d0000b273fa72cc0f027295a503891ea9
short_term,41,Mr. Highway's Thinking About The End,3VnBhHJdT7p05Wtenu4fmt,A Day To Remember,Homesick,2009-02-03,255826,False,USVIC0944805,https://open.spotify.com/track/3VnBhHJdT7p05Wtenu4fmt,https://i.scdn.co/image/ab67616d0000b2730b02af77159866fe3e011c76
short_term,42,HEDONIST (RECHARGED),4Z26VkSLubzvD0RHsdjF61,"Bad Omens, WARGASM (UK)",CONCRETE JUNGLE [THE OST],2024-05-31,203647,True,USYFZ2408305,https://open.spotify.com/track/4Z26VkSLubzvD0RHsdjF61,https://i.scdn.co/image/ab67616d0000b2737400362388ac9ab2a807e597
short_term,43,Gods,6x4AAZvDz156sNHfMsDCSx,Sleep Token,Sundowning,2019-11-21,205480,True,GBUM71902442,https://open.spotify.com/track/6x4AAZvDz156sNHfMsDCSx,https://i.scdn.co/image/ab67616d0000b273003381f0f8b9eb37a06eeb3f
short_term,44,Provider,7JVAVLkkhpKOp8g4jX5Z12,Sleep Token,Even In Arcadia,2025-05-09,365904,False,USRC12500019,https://open.spotify.com/track/7JVAVLkkhpKOp8g4jX5Z12,https://i.scdn.co/image/ab67616d0000b273882265cd9bdded9ea9a153b9
short_term,45,Never Know (Live),07Fp7PHLBJr34jatAnRxkw,Bad Omens,LIVE,2021-07-22,211578,False,USYFZ2157501,https://open.spotify.com/track/07Fp7PHLBJr34jatAnRxkw,https://i.scdn.co/image/ab67616d0000b273927c836d5eb132b4261c6c66
short_term,46,Alkaline,0B4YX3OMtZSmPm9KpiZKl2,Sleep Token,This Place Will Become Your Tomb,2021-09-24,214106,False,GBUM72101269,https://open.spotify.com/track/0B4YX3OMtZSmPm9KpiZKl2,https://i.scdn.co/image/ab67616d0000b27336afd3d53b6dcc59f3563cf9
short_term,47,She Bad,0CfmNX2TXk7yoJqHJiixnp,"Cardi B, YG",Invasion of Privacy,2018-04-06,230952,True,USAT21801434,https://open.spotify.com/track/0CfmNX2TXk7yoJqHJiixnp,https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab
short_term,48,The Summoning,0S38Oso3I9vpDXcTb7kYt9,Sleep Token,Take Me Back To Eden,2023-05-19,395716,False,GBUM72200352,https://open.spotify.com/track/0S38Oso3I9vpDXcTb7kYt9,https://i.scdn.co/image/ab67616d0000b2730b73608b678f169d3c8f35f0
